#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2328CEF5A7AD09C7-8B8D67FE2AFEB18
#datatype	hitsFull Results
#status	0
#Start time	2017-02-26T14:10:53	Run time	0:00:06:21
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	Definition
Q#3 - >13953[]	multi-dom	226674	12	190	3.61933e-51	166.274	COG4221	YdfG	C	 - 	NADP-dependent 3-hydroxy acid dehydrogenase YdfG [Energy production and conversion]; Short-chain alcohol dehydrogenase of unknown specificity [General function prediction only].
Q#3 - >13953[]	multi-dom	223959	11	191	9.38788e-39	134.56	COG1028	FabG	C	 - 	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family [Lipid transport and metabolism, Secondary metabolites biosynthesis, transport and catabolism, General function prediction only]; Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases) [Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only].
Q#3 - >13953[]	multi-dom	223528	11	190	3.14803e-06	46.0886	COG0451	WcaG	C	 - 	Nucleoside-diphosphate-sugar epimerase [Cell wall/membrane/envelope biogenesis]; Nucleoside-diphosphate-sugar epimerases [Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism].
Q#3 - >13953[]	multi-dom	223247	9	96	0.000548826	39.1736	COG0169	AroE	NC	 - 	Shikimate 5-dehydrogenase [Amino acid transport and metabolism]; Shikimate 5-dehydrogenase [Amino acid transport and metabolism].
Q#3 - >13953[]	multi-dom	223643	11	90	0.0032903	36.4758	COG0569	TrkA	C	 - 	Trk K+ transport system, NAD-binding component [Inorganic ion transport and metabolism]; K+ transport systems, NAD-binding component [Inorganic ion transport and metabolism].
Q#3 - >13953[]	multi-dom	223774	13	93	0.00385846	36.421	COG0702	YbjT	C	 - 	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains [General function prediction only]; Predicted nucleoside-diphosphate-sugar epimerases [Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism].
Q#3 - >13953[]	multi-dom	224662	11	80	0.00644083	36.1571	COG1748	Lys9	C	 - 	Saccharopine dehydrogenase, NADP-dependent  [Amino acid transport and metabolism]; Saccharopine dehydrogenase and related proteins [Amino acid transport and metabolism].
Q#3 - >13953[]	multi-dom	223677	13	104	0.00648475	36.1715	COG0604	Qor	NC	 - 	NADPH:quinone reductase or related Zn-dependent oxidoreductase [Energy production and conversion, General function prediction only]; NADPH:quinone reductase and related Zn-dependent oxidoreductases [Energy production and conversion / General function prediction only].
Q#4 - >13954[]	specific	223406	9	271	5.86897e-42	144.689	COG0329	DapA	 - 	cl21457	Dihydrodipicolinate synthase/N-acetylneuraminate lyase [Amino acid transport and metabolism, Cell wall/membrane/envelope biogenesis]; Dihydrodipicolinate synthase/N-acetylneuraminate lyase [Amino acid transport and metabolism / Cell envelope biogenesis, outer membrane].
Q#4 - >13954[]	superfamily	304361	9	271	5.86897e-42	144.689	cl21457	TIM_phosphate_binding superfamily	 - 	 - 	TIM barrel proteins share a structurally conserved phosphate binding motif and in general share an eight beta/alpha closed barrel structure. Specific for this family is the conserved phosphate binding site at the edges of strands 7 and 8. The phosphate comes either from the substrate, as in the case of inosine monophosphate dehydrogenase (IMPDH), or from ribulose-5-phosphate 3-epimerase (RPE) or from cofactors, like FMN.
Q#5 - >13955[]	multi-dom	225041	1	332	5.27362e-131	375.865	COG2130	CurA	 - 	 - 	NADPH-dependent curcumin reductase CurA [Secondary metabolites biosynthesis, transport and catabolism, General function prediction only]; Putative NADP-dependent oxidoreductases [General function prediction only].
Q#5 - >13955[]	multi-dom	223677	14	332	2.06865e-33	124.382	COG0604	Qor	 - 	 - 	NADPH:quinone reductase or related Zn-dependent oxidoreductase [Energy production and conversion, General function prediction only]; NADPH:quinone reductase and related Zn-dependent oxidoreductases [Energy production and conversion / General function prediction only].
Q#5 - >13955[]	multi-dom	223992	97	332	4.83935e-11	61.4495	COG1064	AdhP	N	 - 	D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family [Carbohydrate transport and metabolism]; Zn-dependent alcohol dehydrogenases [General function prediction only].
Q#5 - >13955[]	multi-dom	223991	164	332	7.05869e-10	58.1619	COG1063	Tdh	N	 - 	Threonine dehydrogenase or related Zn-dependent dehydrogenase [Amino acid transport and metabolism, General function prediction only]; Threonine dehydrogenase and related Zn-dependent dehydrogenases [Amino acid transport and metabolism / General function prediction only].
Q#5 - >13955[]	multi-dom	223990	89	244	0.00881403	36.0453	COG1062	FrmA	NC	 - 	Zn-dependent alcohol dehydrogenase [General function prediction only]; Zn-dependent alcohol dehydrogenases, class III [Energy production and conversion].
Q#7 - >13957[]	specific	223807	3	126	1.95096e-35	117.353	COG0736	AcpS	 - 	cl00500	Phosphopantetheinyl transferase (holo-ACP synthase) [Lipid transport and metabolism]; Phosphopantetheinyl transferase (holo-ACP synthase) [Lipid metabolism].
Q#7 - >13957[]	superfamily	294340	3	126	1.95096e-35	117.353	cl00500	ACPS superfamily	 - 	 - 	4'-phosphopantetheinyl transferase superfamily; Members of this family transfers the 4'-phosphopantetheine (4'-PP) moiety from coenzyme A (CoA) to the invariant serine of pfam00550. This post-translational modification renders holo-ACP capable of acyl group activation via thioesterification of the cysteamine thiol of 4'-PP. This superfamily consists of two subtypes: The ACPS type and the Sfp type. The structure of the Sfp type is known, which shows the active site accommodates a magnesium ion. The most highly conserved regions of the alignment are involved in binding the magnesium ion.
Q#8 - >13958[]	specific	223408	1303	1691	1.25881e-71	242.192	COG0331	FabD	 - 	cl08282	Malonyl CoA-acyl carrier protein transacylase [Lipid transport and metabolism]; (acyl-carrier-protein) S-malonyltransferase [Lipid metabolism].
Q#8 - >13958[]	superfamily	298668	1303	1691	1.25881e-71	242.192	cl08282	Acyl_transf_1 superfamily	 - 	 - 	Acyl transferase domain; Acyl transferase domain.  
Q#8 - >13958[]	specific	223408	23	348	2.21689e-30	122.78	COG0331	FabD	 - 	cl08282	Malonyl CoA-acyl carrier protein transacylase [Lipid transport and metabolism]; (acyl-carrier-protein) S-malonyltransferase [Lipid metabolism].
Q#8 - >13958[]	superfamily	298668	23	348	2.21689e-30	122.78	cl08282	Acyl_transf_1 superfamily	 - 	 - 	Acyl transferase domain; Acyl transferase domain.  
Q#8 - >13958[]	specific	224941	1150	1304	5.45017e-19	85.207	COG2030	MaoC	 - 	cl00509	Acyl dehydratase [Lipid transport and metabolism]; Acyl dehydratase [Lipid metabolism].
Q#8 - >13958[]	superfamily	294345	1150	1304	5.45017e-19	85.207	cl00509	hot_dog superfamily	 - 	 - 	The hotdog fold was initially identified in the E. coli FabA (beta-hydroxydecanoyl-acyl carrier protein (ACP)-dehydratase) structure and subsequently in 4HBT (4-hydroxybenzoyl-CoA thioesterase) from Pseudomonas. A number of other seemingly unrelated proteins also share the hotdog fold.  These proteins have related, but distinct, catalytic activities that include metabolic roles such as thioester hydrolysis in fatty acid metabolism, and degradation of phenylacetic acid and the environmental pollutant 4-chlorobenzoate.  This superfamily also includes the PaaI-like protein FapR, a non-catalytic bacterial homolog involved in transcriptional regulation of fatty acid biosynthesis.
Q#8 - >13958[]	multi-dom	227315	1694	2541	0	1049.45	COG4982	FabG2	 - 	 - 	3-oxoacyl-ACP reductase domain of yeast-type FAS1 [Lipid transport and metabolism]; 3-oxoacyl-[acyl-carrier protein].
Q#8 - >13958[]	multi-dom	227314	369	1052	0	864.535	COG4981	COG4981	 - 	 - 	Enoyl reductase domain of yeast-type FAS1  [Lipid transport and metabolism]; Enoyl reductase domain of yeast-type FAS1 [Lipid metabolism].
Q#8 - >13958[]	multi-dom	223381	2532	2947	1.55325e-79	268.745	COG0304	FabB	 - 	 - 	3-oxoacyl-(acyl-carrier-protein) synthase [Lipid transport and metabolism, Secondary metabolites biosynthesis, transport and catabolism]; 3-oxoacyl-(acyl-carrier-protein) synthase [Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism].
Q#8 - >13958[]	multi-dom	225858	2564	2894	3.63283e-11	67.8646	COG3321	PksD	C	 - 	Acyl transferase domain in polyketide synthase (PKS) enzymes [Secondary metabolites biosynthesis, transport and catabolism]; Polyketide synthase modules and related proteins [Secondary metabolites biosynthesis, transport, and catabolism].
Q#8 - >13958[]	multi-dom	224981	390	643	2.00103e-10	63.8869	COG2070	YrpB	C	 - 	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family [General function prediction only]; Dioxygenases related to 2-nitropropane dioxygenase [General function prediction only].
Q#8 - >13958[]	multi-dom	225858	27	384	4.31657e-08	57.8495	COG3321	PksD	N	 - 	Acyl transferase domain in polyketide synthase (PKS) enzymes [Secondary metabolites biosynthesis, transport and catabolism]; Polyketide synthase modules and related proteins [Secondary metabolites biosynthesis, transport, and catabolism].
Q#8 - >13958[]	multi-dom	225858	1308	1550	1.50428e-05	49.3751	COG3321	PksD	NC	 - 	Acyl transferase domain in polyketide synthase (PKS) enzymes [Secondary metabolites biosynthesis, transport and catabolism]; Polyketide synthase modules and related proteins [Secondary metabolites biosynthesis, transport, and catabolism].
Q#8 - >13958[]	multi-dom	223959	2078	2339	0.000110188	45.1938	COG1028	FabG	 - 	 - 	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family [Lipid transport and metabolism, Secondary metabolites biosynthesis, transport and catabolism, General function prediction only]; Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases) [Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only].
Q#9 - >13959[]	specific	223777	75	271	4.92176e-22	90.2164	COG0705	GlpG	 - 	cl21536	Membrane associated serine protease, rhomboid family  [Posttranslational modification, protein turnover, chaperones]; Membrane associated serine protease [Amino acid transport and metabolism].
Q#9 - >13959[]	superfamily	304416	75	271	4.92176e-22	90.2164	cl21536	Rhomboid superfamily	 - 	 - 	Rhomboid family; This family contains integral membrane proteins that are related to Drosophila rhomboid protein. Members of this family are found in bacteria and eukaryotes. Rhomboid promotes the cleavage of the membrane-anchored TGF-alpha-like growth factor Spitz, allowing it to activate the Drosophila EGF receptor. Analysis has shown that Rhomboid-1 is an intramembrane serine protease (EC:3.4.21.105). Parasite-encoded rhomboid enzymes are also important for invasion of host cells by Toxoplasma and the malaria parasite.
Q#11 - >13961[]	non-specific	226489	71	149	8.31564e-09	50.8394	COG3981	COG3981	N	cl17182	Predicted acetyltransferase  [General function prediction only]; Predicted acetyltransferase [General function prediction only].
Q#11 - >13961[]	superfamily	302625	71	149	8.31564e-09	50.8394	cl17182	NAT_SF superfamily	N	 - 	N-Acyltransferase superfamily: Various enyzmes that characteristicly catalyze the transfer of an acyl group to a substrate; NAT (N-Acyltransferase) is a large superfamily of enzymes that mostly catalyze the transfer of an acyl group to a substrate and are implicated in a variety of functions, from bacterial antibiotic resistance to circadian rhythms in mammals. Members include GCN5-related N-Acetyltransferases (GNAT) such as Aminoglycoside N-acetyltransferases, Histone N-acetyltransferase (HAT) enzymes, and Serotonin N-acetyltransferase which catalyze the transfer of an acetyl group to a substrate. The mechanism is an ordered Bi-Bi ternary complex kinetic mechanism for most GNATs: the reaction begins with Acetyl Coenzyme A (AcCoA) binding, followed by binding of substrate, then direct transfer of the acetyl group from AcCoA to the substrate, followed by product and then CoA release. Other family members include Arginine/ornithine N-succinyltransferase, Myristoyl-CoA: protein N-myristoyltransferase, and Acyl-homoserinelactone synthase which have a similar catalytic mechanism but differ in types of acyl groups transferred. Leucyl/ph enylalanyl-tRNA-protein transferase and FemXAB nonribosomal peptidyltransferases which catalyze similar peptidyltransferase reactions are also included.
Q#11 - >13961[]	multi-dom	224584	4	164	1.61778e-24	92.7038	COG1670	RimL	 - 	 - 	Protein N-acetyltransferase, RimJ/RimL family [Translation, ribosomal structure and biogenesis, Posttranslational modification, protein turnover, chaperones]; Acetyltransferases, including N-acetylases of ribosomal proteins [Translation, ribosomal structure and biogenesis].
Q#12 - >13962[]	non-specific	225998	6	134	1.68244e-05	40.8458	COG3467	NimA	 - 	cl00381	Nitroimidazol reductase NimA or a related FMN-containing flavoprotein, pyridoxamine 5'-phosphate oxidase superfamily [Defense mechanisms]; Predicted flavin-nucleotide-binding protein [General function prediction only].
Q#12 - >13962[]	superfamily	294269	6	134	1.68244e-05	40.8458	cl00381	PNPOx/FlaRed_like superfamily	 - 	 - 	Pyridoxine 5'-phosphate (PNP) oxidase-like and flavin reductase-like proteins; The PNPOx-like superfamily is composed of pyridoxine 5'-phosphate (PNP) oxidases and other flavin mononucleotide (FMN) binding proteins, which catalyze FMN-mediated redox reactions. Flavin reductases catalyze the reduction of FMN or FAD using NAD(P)H as a cofactor. They are part of a two-component enzyme system, composed of a smaller component (flavin reductase) and a larger component (an oxidase), which uses the reduced flavin to hydroxylate substrates.
Q#15 - >13965[]	non-specific	223317	8	106	6.07604e-12	56.422	COG0239	CrcB	 - 	cl09114	Fluoride ion exporter CrcB/FEX, affects chromosome condensation [Cell cycle control, cell division, chromosome partitioning, Inorganic ion transport and metabolism]; Integral membrane protein possibly involved in chromosome condensation [Cell division and chromosome partitioning].
Q#15 - >13965[]	superfamily	298835	8	106	6.07604e-12	56.422	cl09114	CRCB superfamily	 - 	 - 	CrcB-like protein, Camphor Resistance (CrcB); CRCB is a family of bacterial integral membrane proteins with four TMs.. Over expression in E. coli also leads to camphor resistance.
Q#16 - >13966[]	multi-dom	224059	16	229	3.93968e-110	315.218	COG1136	LolD	 - 	 - 	ABC-type lipoprotein export system, ATPase component [Cell wall/membrane/envelope biogenesis]; ABC-type antimicrobial peptide transport system, ATPase component [Defense mechanisms].
Q#16 - >13966[]	multi-dom	224051	16	246	4.76636e-72	218.916	COG1126	GlnQ	 - 	 - 	ABC-type polar amino acid transport system, ATPase component [Amino acid transport and metabolism]; ABC-type polar amino acid transport system, ATPase component [Amino acid transport and metabolism].
Q#16 - >13966[]	multi-dom	226647	15	229	6.13217e-72	218.424	COG4181	YbbA	 - 	 - 	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component [Secondary metabolites biosynthesis, transport and catabolism]; Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component [Secondary metabolites biosynthesis, transport, and catabolism].
Q#16 - >13966[]	multi-dom	226164	16	240	7.7586e-65	201.327	COG3638	PhnC	 - 	 - 	ABC-type phosphate/phosphonate transport system, ATPase component [Inorganic ion transport and metabolism]; ABC-type phosphate/phosphonate transport system, ATPase component [Inorganic ion transport and metabolism].
Q#16 - >13966[]	multi-dom	226359	16	228	2.09907e-64	202.49	COG3839	MalK	C	 - 	ABC-type sugar transport system, ATPase component [Carbohydrate transport and metabolism]; ABC-type sugar transport systems, ATPase components [Carbohydrate transport and metabolism].
Q#16 - >13966[]	multi-dom	224054	16	229	8.04507e-60	189.441	COG1131	CcmA	C	 - 	ABC-type multidrug transport system, ATPase component [Defense mechanisms]; ABC-type multidrug transport system, ATPase component [Defense mechanisms].
Q#16 - >13966[]	multi-dom	225438	18	229	8.96021e-59	184.341	COG2884	FtsE	 - 	 - 	ABC-type ATPase involved in cell division [Cell cycle control, cell division, chromosome partitioning]; Predicted ATPase involved in cell division [Cell division and chromosome partitioning].
Q#16 - >13966[]	multi-dom	226361	6	228	3.51413e-58	187.102	COG3842	PotA	C	 - 	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase components [Amino acid transport and metabolism]; ABC-type spermidine/putrescine transport systems, ATPase components [Amino acid transport and metabolism].
Q#16 - >13966[]	multi-dom	224058	16	228	1.36355e-55	180.138	COG1135	AbcC	C	 - 	ABC-type methionine transport system, ATPase component [Amino acid transport and metabolism]; ABC-type metal ion transport system, ATPase component [Inorganic ion transport and metabolism].
Q#16 - >13966[]	multi-dom	224041	16	233	2.44804e-55	176.593	COG1116	TauB	 - 	 - 	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component [Inorganic ion transport and metabolism]; ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component [Inorganic ion transport and metabolism].
Q#16 - >13966[]	multi-dom	224045	19	239	1.53135e-54	174.674	COG1120	FepC	 - 	 - 	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component [Inorganic ion transport and metabolism, Coenzyme transport and metabolism]; ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components [Inorganic ion transport and metabolism / Coenzyme metabolism].
Q#16 - >13966[]	multi-dom	224052	16	232	5.25073e-50	163.533	COG1127	MlaF	 - 	 - 	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, ATPase component MlaF [Cell wall/membrane/envelope biogenesis]; ABC-type transport system involved in resistance to organic solvents, ATPase component [Secondary metabolites biosynthesis, transport, and catabolism].
Q#16 - >13966[]	multi-dom	224049	16	239	6.326e-49	160.123	COG1124	DppF	 - 	 - 	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component [Amino acid transport and metabolism, Inorganic ion transport and metabolism]; ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component [Amino acid transport and metabolism / Inorganic ion transport and metabolism].
Q#16 - >13966[]	multi-dom	224047	12	247	8.64416e-49	159.344	COG1122	EcfA2	 - 	 - 	Energy-coupling factor transporter ATP-binding protein EcfA2 [Inorganic ion transport and metabolism, General function prediction only]; ABC-type cobalt transport system, ATPase component [Inorganic ion transport and metabolism].
Q#16 - >13966[]	multi-dom	224043	27	228	9.42154e-49	162.519	COG1118	CysA	C	 - 	ABC-type sulfate/molybdate transport systems, ATPase component [Inorganic ion transport and metabolism]; ABC-type sulfate/molybdate transport systems, ATPase component [Inorganic ion transport and metabolism].
Q#16 - >13966[]	multi-dom	223521	16	239	1.86278e-47	158.506	COG0444	DppD	C	 - 	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component [Amino acid transport and metabolism, Inorganic ion transport and metabolism]; ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component [Amino acid transport and metabolism / Inorganic ion transport and metabolism].
Q#16 - >13966[]	multi-dom	224048	16	240	1.49574e-46	160.819	COG1123	GsiA	C	 - 	ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain [Posttranslational modification, protein turnover, chaperones]; ATPase components of various ABC-type transport systems, contain duplicated ATPase [General function prediction only].
Q#16 - >13966[]	multi-dom	226643	27	228	5.25737e-46	156.386	COG4175	ProV	C	 - 	ABC-type proline/glycine betaine transport system, ATPase component [Amino acid transport and metabolism]; ABC-type proline/glycine betaine transport system, ATPase component [Amino acid transport and metabolism].
Q#16 - >13966[]	multi-dom	226961	5	245	6.63786e-45	149.881	COG4598	HisP	 - 	 - 	ABC-type histidine transport system, ATPase component [Amino acid transport and metabolism]; ABC-type histidine transport system, ATPase component [Amino acid transport and metabolism].
Q#16 - >13966[]	multi-dom	224048	9	229	2.24365e-44	155.041	COG1123	GsiA	N	 - 	ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain [Posttranslational modification, protein turnover, chaperones]; ATPase components of various ABC-type transport systems, contain duplicated ATPase [General function prediction only].
Q#16 - >13966[]	multi-dom	224046	19	226	2.22478e-42	143.524	COG1121	ZnuC	 - 	 - 	ABC-type Mn2+/Zn2+ transport system, ATPase component [Inorganic ion transport and metabolism]; ABC-type Mn/Zn transport systems, ATPase component [Inorganic ion transport and metabolism].
Q#16 - >13966[]	multi-dom	224050	18	236	1.233e-41	143.206	COG1125	OpuBA	C	 - 	ABC-type proline/glycine betaine transport system, ATPase component [Amino acid transport and metabolism]; ABC-type proline/glycine betaine transport systems, ATPase components [Amino acid transport and metabolism].
Q#16 - >13966[]	multi-dom	224053	4	242	1.68063e-41	146.887	COG1129	MglA	C	 - 	ABC-type sugar transport system, ATPase component [Carbohydrate transport and metabolism]; ABC-type sugar transport system, ATPase component [Carbohydrate transport and metabolism].
Q#16 - >13966[]	multi-dom	226360	34	229	4.43223e-41	139.409	COG3840	ThiQ	 - 	 - 	ABC-type thiamine transport system, ATPase component [Coenzyme transport and metabolism]; ABC-type thiamine transport system, ATPase component [Coenzyme metabolism].
Q#16 - >13966[]	multi-dom	227321	12	229	5.7508e-41	146.253	COG4988	CydD	N	 - 	ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components [Energy production and conversion, Posttranslational modification, protein turnover, chaperones]; ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components [Energy production and conversion / Posttranslational modification, protein turnover, chaperones].
Q#16 - >13966[]	multi-dom	226635	10	228	2.71868e-40	137.659	COG4161	ArtP	 - 	 - 	ABC-type arginine transport system, ATPase component [Amino acid transport and metabolism]; ABC-type arginine transport system, ATPase component [Amino acid transport and metabolism].
Q#16 - >13966[]	multi-dom	224042	4	238	2.35913e-39	135.746	COG1117	PstB	 - 	 - 	ABC-type phosphate transport system, ATPase component [Inorganic ion transport and metabolism]; ABC-type phosphate transport system, ATPase component [Inorganic ion transport and metabolism].
Q#16 - >13966[]	multi-dom	225183	20	240	1.82504e-38	140.441	COG2274	SunT	N	 - 	ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain  [Defense mechanisms]; ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain [Defense mechanisms].
Q#16 - >13966[]	multi-dom	223487	16	227	1.83469e-37	130.282	COG0410	LivF	 - 	 - 	ABC-type branched-chain amino acid transport system, ATPase component [Amino acid transport and metabolism]; ABC-type branched-chain amino acid transport systems, ATPase component [Amino acid transport and metabolism].
Q#16 - >13966[]	multi-dom	224026	28	238	3.76474e-36	127.442	COG1101	PhnK	 - 	 - 	ABC-type uncharacterized transport system, ATPase component  [General function prediction only]; ABC-type uncharacterized transport system, ATPase component [General function prediction only].
Q#16 - >13966[]	multi-dom	223488	16	227	7.38309e-36	126.533	COG0411	LivG	 - 	 - 	ABC-type branched-chain amino acid transport system, ATPase component [Amino acid transport and metabolism]; ABC-type branched-chain amino acid transport systems, ATPase component [Amino acid transport and metabolism].
Q#16 - >13966[]	multi-dom	226364	7	242	2.88918e-35	129.972	COG3845	YufO	C	 - 	ABC-type uncharacterized transport system, ATPase component [General function prediction only]; ABC-type uncharacterized transport systems, ATPase components [General function prediction only].
Q#16 - >13966[]	multi-dom	226628	29	240	5.40297e-35	126.686	COG4148	ModC	C	 - 	ABC-type molybdate transport system, ATPase component [Inorganic ion transport and metabolism]; ABC-type molybdate transport system, ATPase component [Inorganic ion transport and metabolism].
Q#16 - >13966[]	multi-dom	226967	27	227	6.81551e-34	121.935	COG4608	AppF	C	 - 	ABC-type oligopeptide transport system, ATPase component [Amino acid transport and metabolism]; ABC-type oligopeptide transport system, ATPase component [Amino acid transport and metabolism].
Q#16 - >13966[]	multi-dom	226927	12	227	3.34219e-33	119.44	COG4555	NatA	 - 	 - 	ABC-type Na+ transport system, ATPase component NatA [Energy production and conversion, Inorganic ion transport and metabolism]; ABC-type Na+ transport system, ATPase component [Energy production and conversion / Inorganic ion transport and metabolism].
Q#16 - >13966[]	multi-dom	226641	19	240	9.00002e-33	123.539	COG4172	YejF	C	 - 	ABC-type microcin C transport system, duplicated ATPase component YejF [Secondary metabolites biosynthesis, transport and catabolism]; ABC-type uncharacterized transport system, duplicated ATPase component [General function prediction only].
Q#16 - >13966[]	multi-dom	226641	26	239	1.57462e-32	122.769	COG4172	YejF	N	 - 	ABC-type microcin C transport system, duplicated ATPase component YejF [Secondary metabolites biosynthesis, transport and catabolism]; ABC-type uncharacterized transport system, duplicated ATPase component [General function prediction only].
Q#16 - >13966[]	multi-dom	226905	29	230	8.70061e-32	116.009	COG4525	TauB	 - 	 - 	ABC-type taurine transport system, ATPase component [Inorganic ion transport and metabolism]; ABC-type taurine transport system, ATPase component [Inorganic ion transport and metabolism].
Q#16 - >13966[]	multi-dom	226970	20	231	3.75865e-31	113.417	COG4619	FetA	 - 	 - 	ABC-type iron transport system FetAB, ATPase component [Inorganic ion transport and metabolism]; ABC-type uncharacterized transport system, ATPase component [General function prediction only].
